a,b,c,d,pos,vel,acc
7742.636826811277,464.1588833612782,0.1,129154.96650148854,"(2119.514418156016, 0.08333333333333333, 1035.1104857441048)","(6123.51370196337, 0.22416666666666665, 3828.2361206523865)","(9616.443069018087, 0.26916666666666667, 7079.258587573003)"
7742.636826811277,464.1588833612782,0.1,2154434.6900318866,"(2408.8541085323877, 0.024166666666666666, 890.7465896208262)","(9773.529033082701, 0.050833333333333335, 3605.1083181213307)","(22663.564012602383, 0.085, 8089.409702870951)"
7742.636826811277,464.1588833612782,0.1,35938136.638046406,"(2748.9534601915075, 0.005833333333333334, 929.4693401203102)","(16063.017076797862, 0.016666666666666666, 4636.409224116694)","(54517.79893134856, 0.015, 12843.551257719506)"
7742.636826811277,464.1588833612782,0.1,599484250.3189421,"(3123.69858165474, 0.0, 1021.8921759925919)","(26910.231601469335, 0.0033333333333333335, 7146.779269657427)","(133268.33582529376, 0.0025, 27061.24361457957)"
7742.636826811277,464.1588833612782,0.1,10000000000.0,"(3509.4225463565235, 0.0, 1149.771771067901)","(45731.5050247038, 0.0008333333333333334, 11986.486735963474)","(331005.39619875443, 0.0008333333333333334, 65135.001708774966)"
7742.636826811277,464.1588833612782,1.6681005372000592,0.1,"(1505.0118043478956, 0.9916666666666667, 4399.73552169154)","(1450.4432083194174, 0.9975, 10310.407837979908)","(396.64912177937407, 0.9991666666666666, 5922.477682721691)"
7742.636826811277,464.1588833612782,1.6681005372000592,1.6681005372000592,"(1539.8303168257282, 0.8491666666666666, 3977.745345667879)","(1655.9012005342663, 0.9975, 9745.86255994887)","(559.1562663803006, 0.9991666666666666, 6271.401661422638)"
7742.636826811277,464.1588833612782,1.6681005372000592,27.825594022071257,"(1608.2568312773049, 0.6416666666666667, 3008.850834757942)","(2060.809485097022, 0.8841666666666667, 7908.019902493267)","(965.4017041544449, 0.9183333333333333, 6442.596190737552)"
7742.636826811277,464.1588833612782,1.6681005372000592,464.1588833612782,"(1721.6015048146662, 0.4141666666666667, 2030.7411282055161)","(2775.871090709606, 0.6416666666666667, 6082.5107541042335)","(1930.014551446402, 0.7016666666666667, 6657.67164472522)"
7742.636826811277,464.1588833612782,1.6681005372000592,7742.636826811277,"(1889.9892140371992, 0.265, 1430.9989989364853)","(4006.076417154839, 0.39666666666666667, 4674.847416460963)","(4204.57757439892, 0.44666666666666666, 6771.627739552598)"
7742.636826811277,464.1588833612782,1.6681005372000592,129154.96650148854,"(2119.5155469898305, 0.08333333333333333, 1035.1043348128812)","(6123.526239497802, 0.22416666666666665, 3828.207956221644)","(9616.483389125464, 0.26916666666666667, 7079.21256842363)"
7742.636826811277,464.1588833612782,1.6681005372000592,2154434.6900318866,"(2408.8542895520213, 0.024166666666666666, 890.7462396573468)","(9773.531882591853, 0.050833333333333335, 3605.105951797394)","(22663.5765538761, 0.085, 8089.403479450398)"
7742.636826811277,464.1588833612782,1.6681005372000592,35938136.638046406,"(2748.953486275618, 0.005833333333333334, 929.4693190935329)","(16063.017697497358, 0.016666666666666666, 4636.409053921029)","(54517.80274247623, 0.015, 12843.550563396078)"
7742.636826811277,464.1588833612782,1.6681005372000592,599484250.3189421,"(3123.6985851058253, 0.0, 1021.8921757618249)","(26910.231733992943, 0.0033333333333333335, 7146.779275038242)","(133268.33697267502, 0.0025, 27061.243602383845)"
7742.636826811277,464.1588833612782,1.6681005372000592,10000000000.0,"(3509.422546778006, 0.0, 1149.7717711358218)","(45731.50505299516, 0.0008333333333333334, 11986.486739093585)","(331005.39654632827, 0.0008333333333333334, 65135.00171927154)"
